,SMALL LoOP,ME1 OP2,SMALL HiOP,BIG LoOP,ME2 OP2,BIG HiOP
19900628,0.84,0.59,0.64,0.53,0.45,0.95
19900629,0.83,0.33,0.35,0.37,0.1,0.12
19900702,-0.32,0.1,0.08,0.08,0.39,0.48
19900703,-0.26,-0.07,0.27,-0.11,0.08,0.34
19900705,-0.69,-0.49,-0.6,-0.9,-1.03,-1.15
19900706,0.3,0.11,0.31,0.28,0.65,0.87
19900709,-0.17,0.05,0.06,0.15,0.24,0.39
19900710,-0.36,-0.26,-0.09,-0.69,-0.75,-0.64
19900711,0.76,0.63,0.51,0.64,1.19,1.21
19900712,0.58,0.57,0.64,1.05,1.29,0.97
19900713,0.46,0.24,0.33,0.48,0.36,0.55
19900716,0.08,0.12,-0.05,0.24,0.36,0.59
19900717,-0.75,-0.53,-0.72,-0.15,-0.35,-0.51
19900718,-0.65,-0.46,-0.7,-0.74,-0.74,-1.14
19900719,-0.32,-0.39,-0.38,0.07,0.32,0.2
19900720,-0.26,-0.35,-0.21,-0.56,-1.19,-0.78
19900723,-2.36,-1.93,-2.6,-1.63,-1.62,-2.01
19900724,0.09,-0.03,0.12,0.19,0.42,-0.34
19900725,0.72,0.25,0.52,0.33,0.22,0.5
19900726,0.31,0.18,0.12,-0.02,-0.32,-0.27
19900727,-0.65,-0.42,-0.6,-0.38,-0.46,-0.93
19900730,-0.71,-0.65,-0.78,0.24,0.67,0.29
19900731,-0.23,0.02,-0.45,0.18,0.49,-0.16
19900801,-0.54,-0.28,-0.57,-0.29,0.05,-0.26
19900802,-0.98,-1.36,-1.7,-0.57,-0.67,-1.84
19900803,-2.3,-2.53,-2.82,-1.92,-1.52,-1.87
19900806,-3.46,-3.15,-3.92,-2.52,-2.58,-4.12
19900807,-0.01,0,0.37,0.08,-0.02,0.47
19900808,0.98,1.14,1.3,0.62,0.53,1.88
19900809,0.86,0.82,1.07,0.32,0.31,0.99
19900810,-0.77,-0.83,-1.24,-0.56,-1.01,-1.55
19900813,-0.31,-0.15,-0.39,0.25,0.88,1.04
19900814,0.66,0.47,0.28,0.47,-0.05,0.37
19900815,-0.01,0.18,0.21,0.39,0.03,0.49
19900816,-1.79,-1.56,-1.94,-1.82,-1.61,-2.86
19900817,-1.86,-1.64,-2.11,-1.55,-1.14,-1.78
19900820,-0.95,-0.87,-0.85,0.07,0.25,-0.22
19900821,-2.49,-2.02,-2.5,-1.59,-1.91,-2.05
19900822,-1.24,-1.14,-1.2,-1.22,-1.37,-1.91
19900823,-4.48,-3.69,-4.58,-3.33,-2.84,-3.27
19900824,1.25,0.8,1.12,0.48,1,2.39
19900827,2.86,3.12,3.73,2.3,2.61,4.11
19900828,0.32,0.61,0.79,0.15,-0.04,0.1
19900829,0.26,0.51,0.07,0.6,0.83,0.9
19900830,-0.42,-0.66,-0.51,-1.03,-1.38,-1.67
19900831,0.31,0.12,0.25,0.89,0.99,1.19
19900904,-0.26,-0.15,-0.15,0.07,0.25,0.11
19900905,0.54,0.62,0.63,0.51,0.62,0.05
19900906,-0.51,-0.5,-0.69,-0.08,-0.86,-1.59
19900907,0.51,0.34,0.33,0.63,0.87,0.96
19900910,0.03,0.08,0.56,-0.35,-0.39,-0.46
19900911,-0.29,-0.31,-0.46,-0.26,-0.04,-0.17
19900912,-0.07,0.05,0.06,0.49,0.41,0.27
19900913,-0.81,-0.58,-0.97,-1.03,-1.08,-1.19
19900914,-0.51,-0.8,-0.74,-0.71,-0.57,-0.55
19900917,-0.35,-0.31,-0.32,0.48,0.37,0.14
19900918,-0.45,-0.48,-0.53,-0.28,0.08,0.39
19900919,-0.07,0,-0.21,-0.73,-0.37,-0.77
19900920,-1.42,-1.23,-1.66,-1.5,-1.26,-1.94
19900921,-0.53,-0.74,-1.02,-0.35,0.1,-0.21
19900924,-2.46,-2.26,-2.79,-2.16,-2.04,-2.18
19900925,0.15,0.09,0.25,0.47,0.8,1.73
19900926,-1.69,-0.93,-1.5,-1.15,-0.93,-1
19900927,-1.87,-1.41,-2.31,-1.93,-1.46,-1.23
19900928,0.29,0.34,0.86,0.81,1.59,1.99
19901001,0.9,1.28,1.88,2.08,2.32,3.78
19901002,0.35,0.85,0.97,0.29,0.16,0.14
19901003,-0.81,-0.79,-0.86,-1.05,-1.03,-1.34
19901004,-0.13,-0.22,-0.5,0.4,0.39,0.19
19901005,-0.76,-0.49,-0.83,-0.79,-0.5,-0.21
19901008,0.02,0.16,0.17,0.32,0.72,0.62
19901009,-2.19,-1.77,-2.1,-2.11,-2.13,-3.1
19901010,-1.34,-1.52,-1.18,-1.69,-1.76,-1.4
19901011,-2.32,-1.86,-2.42,-2.21,-1.48,-1.68
19901012,0.36,0.62,0.23,0.78,1.33,1.67
19901015,-0.24,0.26,0.11,0.81,0.8,1.41
19901016,-0.91,-0.85,-0.98,-1.02,-1.24,-1.72
19901017,-0.23,-0.05,0.02,0.13,0.26,-0.22
19901018,1.11,1.33,1.9,1.55,1.77,2.99
19901019,0.65,0.91,0.9,2.2,1.51,2.18
19901022,-0.23,-0.23,0.4,0.72,0.39,1.37
19901023,0.43,0.29,0.42,-0.41,-0.62,-0.58
19901024,0.23,-0.05,-0.28,0.09,-0.15,0.14
19901025,-0.14,-0.15,-0.1,-0.74,-0.46,-0.88
19901026,-1.37,-1.03,-1.24,-1.93,-1.34,-1.96
19901029,-0.87,-0.69,-1.02,-1.06,-0.7,-1.07
19901030,-0.7,-0.58,-0.69,0.47,0.82,0.5
19901031,0.08,0.04,0.01,0.26,0.13,-0.06
19901101,0.51,-0.11,0.2,0.88,1.01,0.78
19901102,0.98,1.18,1.1,2.1,1.57,1.54
19901105,0.39,0.65,1.24,1.21,0.76,1.16
19901106,-0.03,0.29,-0.2,-0.44,-0.62,-1
19901107,-0.92,-0.48,-0.9,-1.39,-1.65,-1.74
19901108,-0.09,-0.25,-0.26,0.04,0.59,0.64
19901109,0.97,0.79,1.06,2.14,1.86,1.97
19901112,1.35,1.62,1.96,2.18,1.65,2.21
19901113,0.14,0.39,0.43,-0.28,-0.55,-0.27
19901114,0.96,0.71,1.15,0.82,0.57,1.1
19901115,-0.63,-0.16,-0.1,-0.9,-0.9,-0.98
19901116,0.09,-0.03,-0.25,0.08,0.43,-0.43
19901119,0.23,0.41,0.26,0.34,0.47,0.9
19901120,-0.76,-0.27,-0.7,-0.89,-1.22,-1.08
19901121,-0.19,-0.03,0.02,-0.12,0.16,0.15
19901123,0.13,0.06,0.33,-0.42,-0.31,-0.19
19901126,-0.18,-0.11,0.01,0.64,0.38,0.3
19901127,1.11,0.96,1.28,0.87,0.51,0.74
19901128,0.46,0.56,0.56,0.54,-0.03,-0.11
19901129,0.04,0.2,0.05,-0.39,-0.26,-0.52
19901130,1.11,0.95,0.94,1.54,1.66,1.8
19901203,0.18,0.64,0.8,0.45,0.59,0.93
19901204,0.35,0.51,0.76,0.76,0.58,0.97
19901205,1.26,1.69,1.96,1.42,0.84,1.38
19901206,0.15,0.49,0.46,-0.52,-0.5,0.04
19901207,-0.09,-0.17,-0.1,-0.62,-0.16,-0.53
19901210,-0.42,0.01,-0.03,0.11,0.38,0.28
19901211,-0.61,-0.58,-0.56,-0.06,-0.58,-0.69
19901212,0.44,0.39,0.54,0.81,0.86,1.2
19901213,0.23,0.25,0.54,-0.26,-0.15,-0.09
19901214,-0.42,-0.74,-0.54,-0.56,-0.61,-0.98
19901217,-0.84,-0.67,-0.83,-0.45,-0.19,-0.35
19901218,0.65,0.58,0.68,1.4,1.09,1.44
19901219,0.21,0.51,0.56,0.24,0.06,-0.03
19901220,-0.09,0.44,0,0.24,0.06,0.07
19901221,0.1,-0.19,0.16,0.12,0.37,0.43
19901224,-0.29,-0.29,-0.16,-0.33,-0.27,-0.51
19901226,-0.02,0.23,0.38,0.52,0.34,0.18
19901227,-0.31,0,-0.19,-0.82,-0.58,-0.66
19901228,-0.01,-0.17,-0.07,-0.18,0.03,0.06
19901231,1.05,0.94,1.07,0.17,0.26,0.56
19910102,-0.25,-0.29,-0.57,-0.33,-1,-1.15
19910103,-0.9,-0.68,-1.16,-1.06,-1.04,-1.52
19910104,0.23,-0.23,-0.36,-0.1,-0.16,-0.31
19910107,-1.4,-1.23,-1.59,-1.69,-1.45,-2.03
19910108,-0.64,-0.41,-0.62,-0.29,-0.26,-0.18
19910109,-0.62,-0.36,-0.41,-0.8,-0.92,-1.08
19910110,0.39,0.48,0.69,0.55,0.88,1.27
19910111,-0.09,0,0.08,0.14,-0.16,0.4
19910114,-1.63,-1.63,-1.83,-0.78,-0.68,-1.12
19910115,-0.06,0.05,0.04,0.3,0.29,0.49
19910116,0.93,1.05,1.41,1.11,0.53,1.42
19910117,2.18,2.38,3.08,2.52,3.3,4.02
19910118,-0.13,-0.11,-0.12,0.85,1.22,1.03
19910121,0.29,0.4,0.55,0.06,-0.15,-0.1
19910122,0.4,0.54,0.37,-0.24,-0.87,-0.76
19910123,1.21,1.16,1.09,0.68,0.62,0.46
19910124,1.79,1.5,1.85,1.31,1.32,1.59
19910125,1.29,0.82,1.18,0.32,0.49,0.22
19910128,0.64,1.03,0.98,0.33,0.11,-0.02
19910129,0.98,0.72,0.94,0.18,-0.01,0.07
19910130,1.72,1.79,2.02,0.97,1.18,1.91
19910131,1.58,1.42,1.65,0.73,0.93,0.96
19910201,0.98,0.84,1.02,0.35,-0.24,-0.14
19910204,2.19,1.8,2.03,1.65,1.35,1.75
19910205,1.13,1.21,1.51,0.98,0.86,1.2
19910206,1.65,1.03,1.31,2.04,1.99,1.69
19910207,-0.68,-0.64,-0.66,-0.24,-0.2,-0.59
19910208,0.56,0.23,0.15,0.31,0.47,0.96
19910211,1.71,1.8,1.69,2,2.38,2.69
19910212,-0.14,0.24,0.28,-0.41,-0.58,-0.79
19910213,1.13,0.86,1.23,0.78,0.91,0.95
19910214,-0.35,-0.42,-0.15,-1.07,-1.22,-1.38
19910215,0.91,1.07,1.12,0.94,1,1.54
19910219,0.12,-0.02,0.01,-0.41,0.34,0.23
19910220,-0.55,-0.68,-0.96,-0.84,-0.83,-1.27
19910221,0.55,0.26,0.52,0.17,-0.32,0.11
19910222,1.04,0.23,0.3,0.11,-0.04,0.52
19910225,0.55,0.59,0.61,-0.15,0.31,0.62
19910226,-0.78,-0.77,-0.97,-0.74,-1.17,-1.13
19910227,0.87,0.63,0.86,1.16,1.45,1.04
19910228,0.94,0.97,0.91,0.37,-0.18,-0.16
19910301,0.77,0.69,0.72,0.71,0.96,0.92
19910304,1.32,1.38,1.22,0.22,-0.2,-0.09
19910305,2.2,1.64,2,1.55,1.55,2.33
19910306,0,0.16,0.26,-0.13,-0.11,-0.15
19910307,0.37,0.34,0.11,0.1,-0.06,0.06
19910308,0.45,0.17,0.09,-0.23,-0.4,-0.11
19910311,-0.77,-0.81,-0.88,-0.62,-0.52,-0.56
19910312,-1,-0.87,-1.26,-0.71,-0.67,-1.02
19910313,0.85,0.58,0.66,1.12,1.09,1.33
19910314,0.09,0.18,0.31,-0.4,-0.46,0.13
19910315,-0.42,-0.51,-0.63,-0.05,-0.02,-0.22
19910318,0.12,-0.27,-0.02,-0.31,-0.19,-0.32
19910319,-0.71,-0.71,-0.8,-0.3,-1.54,-1.41
19910320,0.96,0.67,0.87,0.41,0.21,0.44
19910321,0.61,0.12,-0.02,-0.32,-0.39,-0.18
19910322,0.13,-0.03,0.14,0.16,0.43,-0.03
19910325,0.51,0.76,0.59,1.1,0.9,0.45
19910326,0.98,1.09,1.42,1.44,1.28,2.26
19910327,0.46,0.67,0.9,-0.17,-0.2,0.05
19910328,0.51,0.77,0.48,-0.23,-0.04,-0.18
19910401,-0.3,-0.3,-0.34,-0.96,-0.94,-0.82
19910402,1.48,0.89,1.63,1.55,1.79,2.49
19910403,0.92,0.71,0.85,0.25,0,-0.05
19910404,0.77,0.27,0.08,0.47,0.22,0.38
19910405,-0.24,-0.37,-0.16,-0.95,-0.93,-1.15
19910408,0.02,0.07,0.13,0.71,0.65,0.74
19910409,-0.47,-0.26,-0.24,-0.95,-1.11,-1.24
19910410,-0.23,-0.17,0.01,-0.34,0.08,-0.35
19910411,0.97,0.91,1.03,1.73,0.91,1.34
19910412,0.72,0.49,0.52,0.65,0.71,0.58
19910415,-0.34,0.13,-0.02,0.03,0.07,0.41
19910416,0.63,1.01,0.87,1.38,1.31,1.78
19910417,0.83,0.82,1.04,0.6,0.65,0.94
19910418,-0.64,-0.12,-0.51,-0.31,-0.38,-0.66
19910419,-0.47,-0.54,-0.83,-0.92,-0.78,-1.36
19910422,-1.45,-1.3,-1.5,-0.89,-0.82,-0.97
19910423,0.01,0.14,0.31,0.19,0.29,0
19910424,0.41,0.45,0.28,0.33,0.29,0.3
19910425,-0.36,-0.22,-0.03,-0.84,-0.98,-0.73
19910426,-0.45,-0.35,-0.25,-0.46,0.05,-0.11
19910429,-1.16,-0.74,-0.96,-1.11,-1.28,-1.42
19910430,-0.82,-0.53,-0.67,0.31,0.18,0.45
19910501,0.99,0.69,0.64,1.06,1.06,1.56
19910502,0.66,0.62,0.75,0.33,0.05,0.08
19910503,0.39,0.19,0.23,-0.02,-0.06,0.25
19910506,-0.23,-0.1,-0.13,0.13,-0.15,-0.21
19910507,0.16,0.2,0.07,-0.37,-0.57,-0.7
19910508,0.28,0.31,0.22,0.22,0.33,0.14
19910509,0.78,0.55,0.96,0.67,1.11,1.46
19910510,-1.01,-0.82,-0.79,-1.6,-1.84,-1.72
19910513,-0.01,0,-0.12,-0.18,0.12,0.45
19910514,-1.01,-0.98,-0.9,-1.45,-1.29,-1.19
19910515,-1.82,-1.32,-1.9,-0.87,-0.85,-1.03
19910516,0.77,0.63,0.68,1.03,0.99,1.02
19910517,-0.32,-0.08,-0.09,-0.04,0.17,-0.11
19910520,-0.35,-0.15,-0.06,-0.03,-0.03,0.05
19910521,0.52,0.67,0.68,0.51,0.48,1.13
19910522,0.07,0.19,0.31,0.07,0.15,0.45
19910523,0.32,0.22,0.42,-0.15,-0.11,-0.28
19910524,0.56,0.4,0.44,0.71,0.65,0.66
19910528,0.5,0.77,0.62,1.23,0.83,1.32
19910529,0.39,0.51,0.67,0.12,0.33,0.24
19910530,0.81,0.99,1.24,0.71,1.23,0.93
19910531,0.81,0.66,0.94,0.67,1.01,0.42
19910603,0.08,0.23,0.35,-0.11,-0.03,-0.64
19910604,-0.07,0.11,0.26,0.17,-0.29,0.13
19910605,0.07,0.03,0.15,-0.45,-0.85,-0.46
19910606,-0.14,-0.03,-0.27,-0.27,-0.27,-0.51
19910607,-0.55,-0.68,-0.52,-1.03,-1.02,-0.92
19910610,-0.31,-0.22,-0.31,-0.01,-0.18,-0.34
19910611,-0.01,-0.08,0.13,0.07,0.45,0.71
19910612,-1.33,-1.05,-0.88,-1.42,-1.22,-0.93
19910613,0.17,0.17,0.25,0.23,0.22,0.24
19910614,0.57,0.53,0.67,0.47,1.03,1.43
19910617,-0.23,-0.13,0.04,-0.27,-0.57,-0.34
19910618,-0.43,-0.15,-0.17,-0.39,-0.45,-0.37
19910619,-0.99,-1.02,-0.91,-1.4,-0.81,-0.94
19910620,0.1,-0.32,0.04,-0.01,0.04,0.06
19910621,-0.05,0.08,0.03,0.45,0.42,0.6
19910624,-1.9,-1.47,-1.65,-1.49,-1.49,-1.92
19910625,-0.63,-0.27,-0.77,-0.44,0.08,-0.26
19910626,-0.42,-0.27,-0.36,0,0.25,0.18
19910627,0.42,0.16,0.55,0.98,0.81,0.69
19910628,-0.06,0.09,0.06,-0.75,-0.73,-0.75
19910701,0.48,0.59,0.87,1.48,1.7,1.84
19910702,-0.29,-0.04,-0.08,-0.49,-0.21,0.05
19910703,-0.81,-0.67,-0.73,-0.97,-1.06,-0.94
19910705,-0.09,0.07,0.15,0.24,0.22,0.2
19910708,0.27,0.33,0.41,0.52,0.94,0.97
19910709,0.34,0.58,0.99,0.09,-0.27,-0.19
19910710,0.58,0.39,0.61,0.02,0,-0.06
19910711,0.23,0.33,0.3,0.1,0.32,0.38
19910712,0.57,0.41,0.75,0.9,0.73,0.81
19910715,0.65,0.73,0.64,0.39,0.42,0.81
19910716,0.04,0.06,-0.18,0.03,-0.33,-0.18
19910717,0.21,0.21,0.05,0.07,0.05,-0.16
19910718,0.76,0.57,0.76,0.97,0.94,0.94
19910719,0.27,0.08,0.18,-0.28,-0.08,-0.41
19910722,-0.2,-0.33,-0.3,-0.21,-0.33,-0.41
19910723,-0.84,-0.65,-0.64,-0.54,-0.97,-0.94
19910724,-0.5,-0.38,-0.63,-0.68,-0.29,-0.12
19910725,0.26,0.1,0.31,0.69,0.61,0.6
19910726,0.12,-0.05,0.07,0.01,0.15,0.05
19910729,-0.13,0.04,-0.11,0.32,0.53,0.63
19910730,0.56,0.47,0.61,0.77,0.7,1.1
19910731,0.8,0.65,0.54,0.37,0.11,0.58
19910801,0.04,0.22,0.13,-0.01,-0.19,-0.1
19910802,0.21,0.33,0.21,0.33,-0.03,0.15
19910805,-0.2,-0.51,-0.23,-0.57,-0.46,-0.56
19910806,0.35,0.16,0.56,0.78,1.19,1.57
19910807,0.12,0.32,0.12,0.2,-0.05,0.21
19910808,0.11,-0.01,0.01,0.01,-0.34,-0.08
19910809,0.03,0.05,-0.02,-0.62,-0.53,-0.38
19910812,0.18,0.02,0.1,0.03,0.04,0.45
19910813,0.54,0.16,0.67,0.59,0.31,0.5
19910814,0.44,0.18,0.5,0.04,-0.03,0.41
19910815,-0.06,-0.16,0.15,-0.18,-0.09,-0.17
19910816,-0.36,-0.26,-0.71,-0.85,-0.9,-0.9
19910819,-3.25,-2.55,-2.95,-2.29,-2.18,-2.35
19910820,0.92,0.76,1.02,0.73,0.47,0.89
19910821,2.53,2.31,2.68,2.55,2.61,3.03
19910822,0.5,0.2,0.44,0.13,0.16,0.22
19910823,0.74,0.49,0.48,0.55,0.93,0.45
19910826,0.39,0.19,-0.02,0.14,0.01,-0.16
19910827,0.22,0.15,-0.1,-0.32,-0.17,-0.06
19910828,0.95,0.52,0.63,0.61,0.86,0.95
19910829,0.16,0.2,0.06,-0.01,-0.14,0.06
19910830,0.12,0.31,0.39,-0.06,-0.17,-0.23
19910903,-0.76,-0.65,-0.59,-0.45,-0.61,-0.99
19910904,-0.38,-0.33,-0.48,-0.48,-0.45,-0.66
19910905,0.18,-0.13,-0.25,-0.02,-0.16,-0.39
19910906,0.15,0,0.02,-0.04,0.07,-0.07
19910909,0.18,-0.02,-0.01,-0.17,-0.17,-0.08
19910910,-1.19,-0.93,-1.08,-0.92,-0.83,-1.17
19910911,0.34,0.23,0.21,-0.14,0.34,0.15
19910912,0.7,0.55,0.74,0.45,0.47,0.86
19910913,-0.09,-0.35,-0.3,-0.78,-1.05,-1.01
19910916,-0.06,-0.04,-0.3,0.33,0.65,0.47
19910917,0.02,-0.04,-0.01,-0.13,-0.1,0.06
19910918,0.46,0.27,0.38,0.42,0.29,0.48
19910919,0.79,0.69,0.77,0.38,0.32,0.25
19910920,0.86,0.41,0.41,0.32,0.16,0.19
19910923,-0.58,-0.24,-0.12,-0.28,-0.41,-0.54
19910924,0.27,0.03,0.19,0.65,0.6,0.4
19910925,0.06,-0.08,0.01,-0.05,-0.15,-0.2
19910926,0.12,0.39,-0.1,0.2,0.17,-0.21
19910927,-0.41,-0.12,-0.33,-0.04,-0.25,-0.16
19910930,0.58,0.71,0.55,0.7,0.56,0.52
19911001,0.28,-0.1,0.29,0.01,0.13,0.48
19911002,0,-0.33,-0.26,-0.11,-0.17,-0.37
19911003,-0.8,-0.77,-0.94,-0.84,-0.9,-0.96
19911004,-0.15,-0.01,-0.11,-0.61,-0.43,-0.84
19911007,-1.01,-0.85,-0.69,-0.7,-0.58,-0.48
19911008,0.1,0.23,0.21,0.11,0.29,0.31
19911009,-0.52,-0.33,-0.29,-0.75,-1.09,-0.85
19911010,0.16,-0.06,0.23,0.35,0.95,0.86
19911011,0.52,0.37,0.19,0.26,0.18,0.28
19911014,0.95,0.78,0.82,1.05,1.21,1.39
19911015,1.27,1.07,1.21,1.33,1.26,1.22
19911016,1.42,1.31,1.28,1.02,0.44,0.53
19911017,-0.08,-0.17,-0.3,-0.06,-0.19,-0.41
19911018,0.66,0.22,0.37,0.33,0.25,0.09
19911021,-0.25,-0.04,-0.49,-0.69,-0.55,-0.68
19911022,0.41,0.06,-0.07,-0.37,-0.29,-0.63
19911023,-0.19,-0.38,-0.06,0.11,-0.01,-0.05
19911024,-1.2,-0.87,-1.13,-0.59,-0.73,-0.79
19911025,-0.53,-0.23,-0.56,0.02,-0.43,-0.19
19911028,0.77,0.33,0.32,1.01,1.09,1.5
19911029,0.59,0.65,0.79,0.6,0.6,0.58
19911030,1.09,0.69,0.6,0.86,0.5,0.43
19911031,0.84,0.61,0.64,0.27,-0.28,0.15
19911101,-0.24,-0.07,0.01,-0.35,-0.28,-0.33
19911104,-0.69,-0.25,-0.42,-0.51,-0.27,-0.27
19911105,0.11,0.05,0.01,-0.01,-0.29,-0.32
19911106,0.2,0.14,0.18,0.35,0.46,0.23
19911107,0.96,0.57,0.81,0.98,0.85,1.02
19911108,0.72,0.09,0.32,0.06,-0.12,0.04
19911111,0.3,0.42,0.28,0.21,-0.06,0.29
19911112,0.93,0.56,0.81,0.8,0.8,1.02
19911113,-0.52,0.24,0.29,0.08,0.13,0.22
19911114,-0.41,0.06,-0.08,-0.11,-0.12,-0.04
19911115,-4.33,-2.58,-3.18,-3.15,-3.27,-3.8
19911118,0.11,-0.26,0.03,0.02,0.39,0.89
19911119,-2.74,-1.92,-2.35,-1.61,-1.27,-1.57
19911120,0.57,0.25,0.12,0.14,-0.5,0
19911121,0.54,0.22,0.23,0.58,0.36,0.5
19911122,-1.1,-0.56,-0.49,-1.11,-1.1,-0.83
19911125,-0.61,-0.47,-0.79,0,-0.32,-0.25
19911126,-0.42,-0.34,-0.26,0.5,0.78,0.56
19911127,0.09,-0.2,-0.1,0,-0.4,-0.14
19911129,0.46,0.28,0.35,-0.23,-0.31,-0.17
19911202,0.08,0.13,0.49,1.05,1.41,1.79
19911203,0.39,0.22,0.71,0.11,-0.26,0.19
19911204,-0.01,0.28,0.32,-0.11,-0.43,0.02
19911205,-0.26,-0.38,-0.24,-0.26,-0.72,-0.53
19911206,0.6,-0.03,0.12,-0.09,0.46,0.48
19911209,-0.71,-0.21,-0.42,-0.65,-0.46,0.08
19911210,-0.78,-0.42,-0.34,-0.49,-0.04,0.04
19911211,-0.86,-0.52,-0.32,-0.25,0.05,-0.21
19911212,0.7,0.71,0.73,0.89,1.07,0.91
19911213,0.97,0.82,0.92,0.49,0.92,0.59
19911216,0.81,0.51,0.43,-0.46,-0.18,0.42
19911217,-0.55,-0.4,-0.47,-0.66,-0.73,-0.26
19911218,-0.23,0.07,-0.26,-0.4,0.16,0.29
19911219,-0.81,-0.63,-0.57,-0.55,-0.37,-0.3
19911220,-0.16,0.07,-0.02,1.07,1.43,0.98
19911223,1.12,1.29,1.04,2.12,2.42,2.53
19911224,1.04,0.85,1.27,0.93,0.86,0.69
19911226,1.69,1.51,1.7,1.35,1.06,1.69
19911227,0.86,1,1.33,0.64,0.41,0.61
19911230,2.27,1.97,2.03,2.45,2.05,1.94
19911231,1.19,0.98,1.25,0.96,0.81,0.31
19920102,0.4,-0.12,-0.46,-0.5,-0.08,-0.01
19920103,1.47,0.82,1.27,0.7,0.49,0.4
19920106,1.45,0.83,1.1,0.33,-0.15,-0.24
19920107,0.92,0.44,0.58,-0.08,-0.11,0.02
19920108,1.51,0.88,1.17,0.12,-0.03,0.51
19920109,1.11,0.96,1.7,0.14,-0.18,0.21
19920110,-0.59,-0.18,-0.64,-0.39,-0.52,-0.71
19920113,0.58,0.3,0.19,-0.16,-0.27,-0.12
19920114,1.56,1.11,1.41,1.06,1.35,1.37
19920115,0.84,1,1.23,0.82,0.51,-0.06
19920116,-0.37,0.28,0.3,-0.41,-0.09,-1.16
19920117,0.45,0.15,0.34,-0.57,0.17,0.11
19920120,-0.3,-0.42,-0.71,-0.38,-0.5,-0.82
19920121,-2.08,-1.36,-1.82,-0.94,-1.01,-1.03
19920122,1.49,0.9,1.58,1.1,1.12,1.66
19920123,0.56,0.34,0.49,-0.17,-0.62,-0.57
19920124,0.33,0.22,0.6,-0.33,0.19,0.18
19920127,-0.19,0.31,-0.21,0.3,-0.02,-0.33
19920128,-0.1,0.11,-0.04,0.08,0.01,0.02
19920129,-0.84,-0.47,-0.55,-0.76,-1.03,-1.13
19920130,0.93,0.59,0.38,0.41,0.1,0.65
19920131,0.21,0.18,0.07,-0.8,-0.81,-0.43
19920203,0.33,0.29,0.44,0,0.44,0.17
19920204,0.9,0.96,1.28,0.42,1.11,1.04
19920205,0.54,0.69,1,0.17,0.01,0.25
19920206,0.45,0.26,0.52,0.29,0.1,-0.12
19920207,-0.2,-0.25,-0.02,-0.51,-0.62,-0.62
19920210,-0.07,0.38,0.42,0.74,0.56,0.51
19920211,-0.16,0.2,0.31,0.18,0.28,-0.17
19920212,1.16,0.87,1.19,1.48,0.94,0.76
19920213,-0.51,-0.36,-0.51,-1.02,-0.66,-0.98
19920214,-0.12,-0.09,0.17,-0.06,-0.05,-0.44
19920218,-0.99,-0.58,-0.78,-0.18,-0.9,-1.64
19920219,-1,-0.75,-0.97,-0.11,0.23,0.14
19920220,1.36,0.97,1.22,1.12,1.27,1.35
19920221,-0.17,-0.29,-0.2,-0.59,-0.6,-0.54
19920224,-0.72,-0.55,-0.62,-0.19,-0.08,0.2
19920225,-0.82,-0.58,-0.81,-0.4,-0.72,-0.13
19920226,1.62,0.87,1.14,1.02,0.94,1.42
19920227,0.53,0.23,0.38,-0.13,-0.31,-0.15
19920228,0.28,-0.17,0.01,-0.01,-0.17,-0.46
19920302,0.51,0.26,0.28,0.18,0.18,-0.05
19920303,0.2,0.29,0.08,0.33,0.1,-0.05
19920304,-0.52,-0.14,-0.28,-0.49,-0.67,-0.92
19920305,-1.45,-1.03,-1.4,-0.88,-0.68,-0.84
19920306,-0.69,-0.74,-0.61,-0.48,-0.51,-0.55
19920309,-0.08,0,-0.28,-0.08,0.33,0.19
19920310,0.81,0.59,0.72,0.65,0.4,0.59
19920311,-0.86,-0.63,-0.64,-0.86,-0.55,-0.78
19920312,-0.44,-0.23,-0.43,-0.1,0.03,-0.1
19920313,0.39,0.17,0.36,0.42,0.5,0.44
19920316,-0.34,-0.31,-0.24,-0.2,0.17,0.14
19920317,0.69,0.51,0.64,0.61,0.62,0.89
19920318,0.78,0.49,0.46,0.28,0.09,-0.29
19920319,0.18,0.25,0.24,0.49,0.2,0.1
19920320,-0.05,0.06,-0.1,0.14,0.13,0.29
19920323,-0.53,-0.03,-0.39,-0.42,-0.35,-0.18
19920324,-0.67,-0.42,-0.28,-0.32,-0.32,-0.15
19920325,0.26,-0.02,-0.08,-0.22,-0.36,-0.02
19920326,-0.49,-0.32,-0.23,0.02,-0.18,0.03
19920327,-1.36,-0.89,-1.31,-1.19,-1.19,-0.9
19920330,-0.66,-0.2,-0.65,-0.01,-0.07,-0.18
19920331,0.3,0.32,0.42,0.1,0.17,0.09
19920401,-0.71,-0.5,-0.26,-0.08,0.07,0.24
19920402,-1.36,-0.61,-0.79,-0.83,-0.79,-1.16
19920403,-0.85,-0.54,-0.63,-0.36,-0.02,0.36
19920406,0.54,0.29,0.38,0.82,1.07,0.98
19920407,-2.37,-1.4,-2.04,-1.63,-1.46,-2.09
19920408,-1.73,-1.47,-1.59,-1.34,-0.95,-0.85
19920409,2.18,1.34,1.78,1.22,1.57,1.68
19920410,0.66,0.54,0.36,0.5,0.65,0.87
19920413,-0.13,0.04,0.55,0.26,0.57,0.54
19920414,0.84,0.86,1.09,1.44,1.34,1.54
19920415,-0.06,0.72,0.76,1.02,1.17,0.67
