Dow Jones,S&P 500,NASDAQ
21394.76,2438.3,6265.25
21409.55,2439.07,6247.15
21310.66,2419.38,6146.62
21454.61,2440.69,6234.41
21287.03,2419.7,6144.35
21349.63,2423.41,6140.42
21479.27,2429.01,6110.06
,,
21478.17,2432.54,6150.86
21320.04,2409.75,6089.46
21414.34,2425.18,6153.08
21408.52,2427.43,6176.39
21409.07,2425.53,6193.3
21532.14,2443.25,6261.17
21553.09,2447.83,6274.44
21637.74,2459.27,6312.47
21629.72,2459.14,6314.43
21574.73,2460.61,6344.31
21640.75,2473.83,6385.04
21611.78,2473.45,6390.0
21580.07,2472.54,6387.75
21513.17,2469.91,6410.81
21613.43,2477.13,6412.17
21711.01,2477.83,6422.75
21796.55,2475.42,6382.19
21830.31,2472.1,6374.68
21891.12,2470.3,6348.12
21963.92,2476.35,6362.94
22016.24,2477.57,6362.65
22026.1,2472.16,6340.34
22092.81,2476.83,6351.56
22118.42,2480.91,6383.77
22085.34,2474.92,6370.46
22048.7,2474.02,6352.33
21844.01,2438.21,6216.87
21858.32,2441.32,6256.56
21993.71,2465.84,6340.23
21998.99,2464.61,6333.01
22024.87,2468.11,6345.11
21750.73,2430.01,6221.91
21674.51,2425.55,6216.53
21703.75,2428.37,6213.13
21899.89,2452.51,6297.48
21812.09,2444.04,6278.41
21783.4,2438.97,6271.33
21813.67,2443.05,6265.64
21808.4,2444.24,6283.02
21865.37,2446.3,6301.89
21892.43,2457.59,6368.31
21948.1,2471.65,6428.66
21987.56,2476.55,6435.33
,,
21753.31,2457.85,6375.57
21807.64,2465.54,6393.31
21784.78,2465.1,6397.87
21797.79,2461.43,6360.19
22057.37,2488.11,6432.26
22118.86,2496.48,6454.28
22158.18,2498.37,6460.19
22203.48,2495.62,6429.08
22268.34,2500.23,6448.47
22331.35,2503.87,6454.64
22370.8,2506.65,6461.32
22412.59,2508.24,6456.04
22359.23,2500.6,6422.69
22349.59,2502.22,6426.92
22296.09,2496.66,6370.59
22284.32,2496.84,6380.16
22340.71,2507.04,6453.26
22381.2,2510.06,6453.45
22405.09,2519.36,6495.96
22557.6,2529.12,6516.72
22641.67,2534.58,6531.71
22661.64,2537.74,6534.63
22775.39,2552.07,6585.36
22773.67,2549.33,6590.18
22761.07,2544.73,6579.73
22830.68,2550.64,6587.25
22872.89,2555.24,6603.55
22841.01,2550.93,6591.51
22871.72,2553.17,6605.8
22956.96,2557.64,6624.0
22997.44,2559.36,6623.66
23157.6,2561.26,6624.22
23163.04,2562.1,6605.07
23328.63,2575.21,6629.05
23273.96,2564.98,6586.83
23441.76,2569.13,6598.43
23329.46,2557.15,6563.89
23400.86,2560.4,6556.77
23434.19,2581.07,6701.26
23348.74,2572.83,6698.96
23377.24,2575.26,6727.67
23435.01,2579.36,6716.53
23516.26,2579.85,6714.94
23539.19,2587.84,6764.44
23548.42,2591.13,6786.44
23557.23,2590.64,6767.78
23563.36,2594.38,6789.12
23461.94,2584.62,6750.05
23422.21,2582.3,6750.94
23439.7,2584.84,6757.6
23409.47,2578.87,6737.87
23271.28,2564.62,6706.21
23458.36,2585.64,6793.29
23358.24,2578.85,6782.79
23430.33,2582.14,6790.71
23590.83,2599.03,6862.48
23526.18,2597.08,6867.36
,,
23557.99,2602.42,6889.16
23580.78,2601.42,6878.52
23836.71,2627.04,6912.36
23940.68,2626.07,6824.39
24272.35,2647.58,6873.97
24231.59,2642.22,6847.59
24290.05,2639.44,6775.37
24180.64,2629.57,6762.21
24140.91,2629.27,6776.38
24211.48,2636.98,6812.84
24329.16,2651.5,6840.08
24386.03,2659.99,6875.08
24504.8,2664.11,6862.32
24585.43,2662.85,6875.8
24508.66,2652.01,6856.53
24651.74,2675.81,6936.58
24792.2,2690.16,6994.76
24754.75,2681.47,6963.85
24726.65,2679.25,6960.96
24782.29,2684.57,6965.36
24754.06,2683.34,6959.96
,,
24746.21,2680.5,6936.25
24774.3,2682.62,6939.34
24837.51,2687.54,6950.16
24719.22,2673.61,6903.39
,,
24824.01,2695.81,7006.9
24922.68,2713.06,7065.53
25075.13,2723.99,7077.91
25295.87,2743.15,7136.56
25283.0,2747.71,7157.39
25385.8,2751.29,7163.58
25369.13,2748.23,7153.57
25574.73,2767.56,7211.78
25803.19,2786.24,7261.06
,,
25792.86,2776.42,7223.69
26115.65,2802.56,7298.28
26017.81,2798.03,7296.05
26071.72,2810.3,7336.38
26214.6,2832.97,7408.03
26210.81,2839.13,7460.29
26252.12,2837.54,7415.06
26392.79,2839.25,7411.16
26616.71,2872.87,7505.77
26439.48,2853.53,7466.51
26076.89,2822.43,7402.48
26149.39,2823.81,7411.48
26186.71,2821.98,7385.86
25520.96,2762.13,7240.95
24345.75,2648.94,6967.53
24912.77,2695.14,7115.88
24893.35,2681.66,7051.98
23860.46,2581.0,6777.16
24190.9,2619.55,6874.49
24601.27,2656.0,6981.96
24640.45,2662.94,7013.51
24893.49,2698.63,7143.62
25200.37,2731.2,7256.43
25219.38,2732.22,7239.47
,,
24964.75,2716.26,7234.31
24797.78,2701.33,7218.23
24962.48,2703.96,7210.09
25309.99,2747.3,7337.39
25709.27,2779.6,7421.46
25410.03,2744.28,7330.35
25029.2,2713.83,7273.01
24608.98,2677.67,7180.56
24538.06,2691.25,7257.87
24874.76,2720.94,7330.7
24884.12,2728.12,7372.01
24801.36,2726.8,7396.65
24895.21,2738.97,7427.95
25335.74,2786.57,7560.81
25178.61,2783.02,7588.32
25007.03,2765.31,7511.01
24758.12,2749.48,7496.81
24873.66,2747.33,7481.74
24946.51,2752.01,7481.99
24610.91,2712.92,7344.24
24727.27,2716.94,7364.3
24682.31,2711.93,7345.29
23957.89,2643.69,7166.68
23533.2,2588.26,6992.67
24202.6,2658.55,7220.54
23857.71,2612.62,7008.81
23848.42,2605.0,6949.23
